Dia,Mes,Anio,Estacion,Alcaldia,Latitud,Longitud,avgAQI
19,1,2016,Camarones,AZCAPOTZALCO,19.4684047698975,-99.169792175293,156
19,1,2016,Centro de Ciencias de la Atmosfera,COYOACAN,19.3261108398438,-99.1761093139648,24
19,1,2016,Coyoacan,COYOACAN,19.3502578735352,-99.1571044921875,21
19,1,2016,Cuajimalpa,CUAJIMALPA DE MORELOS,19.3653125762939,-99.2917022705078,135
19,1,2016,Gustavo A. Madero,GUSTAVO A MADERO,19.4827003479004,-99.0945205688477,22
19,1,2016,Hospital General de Mexico,CUAUHTEMOC,19.4116172790527,-99.1522064208984,146
19,1,2016,Iztacalco,IZTACALCO,19.3844127655029,-99.1176376342773,132
19,1,2016,Merced,VENUSTIANO CARRANZA,19.4246101379395,-99.1195907592773,15
19,1,2016,Miguel Hidalgo,MIGUEL HIDALGO,19.4040508270264,-99.2026596069336,148
19,1,2016,Milpa Alta,MILPA ALTA,19.1769008636475,-98.9901885986328,158
19,1,2016,Pedregal,ALVARO OBREGON,19.3251457214355,-99.2041397094727,23
19,1,2016,Tlahuac,TLAHUAC,19.2464580535889,-99.0105667114258,129
19,1,2016,UAM Iztapalapa,IZTAPALAPA,19.3607940673828,-99.0738830566406,159
19,1,2016,UAM Xochimilco,COYOACAN,19.3044414520264,-99.103630065918,20
20,1,2016,Ajusco,TLALPAN,19.1542854309082,-99.1626129150391,24
20,1,2016,Ajusco Medio,TLALPAN,19.2721614837646,-99.2077407836914,116
20,1,2016,Benito Juarez,BENITO JUAREZ,19.3704643249512,-99.1595993041992,152
20,1,2016,Camarones,AZCAPOTZALCO,19.4684047698975,-99.169792175293,141
