,ID,Dia,Mes,Anio,Latitud,Longitud,Alcaldia,Alcaldia_num,AQI,Crimenes,r,p value,% / 10 AQI
91,11_1_2016_IZTAP,11,1,2016,19.3607940673828,-99.0738830566406,IZTAPALAPA,10,91,36,0.25845,0.00015,1.20472
92,11_1_2016_TLAHU,11,1,2016,19.2464580535889,-99.0105667114258,TLAHUAC,6,89,4,0.07758,0.16359,0.47823
93,11_1_2016_VENUS,11,1,2016,19.4246101379395,-99.1195907592773,VENUSTIANO CARRANZA,2,100,8,0.09313,0.09526,0.50963
94,12_1_2016_BENIT,12,1,2016,19.3704643249512,-99.1595993041992,BENITO JUAREZ,1,126,8,0.04583,0.38995,0.31513
95,12_1_2016_CUAJI,12,1,2016,19.3653125762939,-99.2917022705078,CUAJIMALPA DE MORELOS,5,82,2,0.05489,0.40533,0.27603
96,12_1_2016_CUAUH,12,1,2016,19.4116172790527,-99.1522064208984,CUAUHTEMOC,8,114,20,0.09876,0.06456,0.54579
97,12_1_2016_IZTAC,12,1,2016,19.3844127655029,-99.1176376342773,IZTACALCO,3,105,14,0.13991,0.01036,0.74039
98,12_1_2016_IZTAP,12,1,2016,19.3607940673828,-99.0738830566406,IZTAPALAPA,10,119,34,0.25845,0.00015,1.20472
99,12_1_2016_MIGUE,12,1,2016,19.4040508270264,-99.2026596069336,MIGUEL HIDALGO,9,99,8,0.0727,0.17233,0.40209
100,12_1_2016_TLAHU,12,1,2016,19.2464580535889,-99.0105667114258,TLAHUAC,6,90,4,0.07758,0.16359,0.47823
101,12_1_2016_TLALP,12,1,2016,19.2721614837646,-99.2077407836914,TLALPAN,4,107,6,-0.03953,0.46228,-0.23408
102,12_1_2016_VENUS,12,1,2016,19.4246101379395,-99.1195907592773,VENUSTIANO CARRANZA,2,142,14,0.09313,0.09526,0.50963
103,13_1_2016_CUAJI,13,1,2016,19.3653125762939,-99.2917022705078,CUAJIMALPA DE MORELOS,5,50,2,0.05489,0.40533,0.27603
104,13_1_2016_CUAUH,13,1,2016,19.4116172790527,-99.1522064208984,CUAUHTEMOC,8,74,16,0.09876,0.06456,0.54579
105,13_1_2016_IZTAP,13,1,2016,19.3607940673828,-99.0738830566406,IZTAPALAPA,10,71,30,0.25845,0.00015,1.20472
106,13_1_2016_MIGUE,13,1,2016,19.4040508270264,-99.2026596069336,MIGUEL HIDALGO,9,68,4,0.0727,0.17233,0.40209
107,13_1_2016_TLAHU,13,1,2016,19.2464580535889,-99.0105667114258,TLAHUAC,6,38,2,0.07758,0.16359,0.47823
108,13_1_2016_TLALP,13,1,2016,19.2721614837646,-99.2077407836914,TLALPAN,4,49,12,-0.03953,0.46228,-0.23408
109,14_1_2016_BENIT,14,1,2016,19.3704643249512,-99.1595993041992,BENITO JUAREZ,1,61,18,0.04583,0.38995,0.31513
110,14_1_2016_CUAJI,14,1,2016,19.3653125762939,-99.2917022705078,CUAJIMALPA DE MORELOS,5,37,2,0.05489,0.40533,0.27603
111,14_1_2016_CUAUH,14,1,2016,19.4116172790527,-99.1522064208984,CUAUHTEMOC,8,54,12,0.09876,0.06456,0.54579
112,14_1_2016_IZTAC,14,1,2016,19.3844127655029,-99.1176376342773,IZTACALCO,3,54,8,0.13991,0.01036,0.74039
113,14_1_2016_IZTAP,14,1,2016,19.3607940673828,-99.0738830566406,IZTAPALAPA,10,51,26,0.25845,0.00015,1.20472
114,14_1_2016_MIGUE,14,1,2016,19.4040508270264,-99.2026596069336,MIGUEL HIDALGO,9,51,2,0.0727,0.17233,0.40209
115,14_1_2016_TLAHU,14,1,2016,19.2464580535889,-99.0105667114258,TLAHUAC,6,26,6,0.07758,0.16359,0.47823
116,14_1_2016_TLALP,14,1,2016,19.2721614837646,-99.2077407836914,TLALPAN,4,28,8,-0.03953,0.46228,-0.23408
117,15_1_2016_AZCAP,15,1,2016,19.4684047698975,-99.169792175293,AZCAPOTZALCO,7,91,20,0.01273,0.82162,0.07958
118,15_1_2016_BENIT,15,1,2016,19.3704643249512,-99.1595993041992,BENITO JUAREZ,1,86,4,0.04583,0.38995,0.31513
119,15_1_2016_CUAJI,15,1,2016,19.3653125762939,-99.2917022705078,CUAJIMALPA DE MORELOS,5,49,2,0.05489,0.40533,0.27603
120,15_1_2016_CUAUH,15,1,2016,19.4116172790527,-99.1522064208984,CUAUHTEMOC,8,80,32,0.09876,0.06456,0.54579
121,15_1_2016_IZTAC,15,1,2016,19.3844127655029,-99.1176376342773,IZTACALCO,3,90,8,0.13991,0.01036,0.74039
122,15_1_2016_IZTAP,15,1,2016,19.3607940673828,-99.0738830566406,IZTAPALAPA,10,93,28,0.25845,0.00015,1.20472
123,15_1_2016_MIGUE,15,1,2016,19.4040508270264,-99.2026596069336,MIGUEL HIDALGO,9,44,8,0.0727,0.17233,0.40209
124,15_1_2016_TLAHU,15,1,2016,19.2464580535889,-99.0105667114258,TLAHUAC,6,61,4,0.07758,0.16359,0.47823
